Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF00047,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.13%), Eukaryota:Viridiplantae (0.65%), Eukaryota:Alveolata (0.22%)",mir-2,mir-2 microRNA precursor family,Gene; miRNA;
RF00049,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (83.05%), Eukaryota:Viridiplantae (15.25%), Eukaryota:Alveolata (1.69%)","Eukaryota (99.87%), Eukaryota:Metazoa (68.54%), Eukaryota:Viridiplantae (27.26%), Eukaryota:Fungi (1.14%), Eukaryota:Alveolata (1.11%), Eukaryota:Stramenopiles (0.51%), Bacteria (0.13%), Eukaryota:Amoebozoa (0.10%), Bacteria:Firmicutes (0.03%)",SNORD36,Small nucleolar RNA SNORD36,Gene; snRNA; snoRNA; CD-box;
RF00051,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-17,mir-17 microRNA precursor family,Gene; miRNA;
RF00052,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (97.14%), Eukaryota:Viridiplantae (2.86%)",lin-4,lin-4 microRNA precursor family,Gene; miRNA;
RF00053,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (99.92%), Eukaryota:Metazoa (99.73%), Eukaryota:Viridiplantae (0.12%), Bacteria (0.08%), Eukaryota:Alveolata (0.08%)",mir-7,mir-7 microRNA precursor family,Gene; miRNA;
RF00055,Eukaryota,"Eukaryota (100.00%), Eukaryota:Viridiplantae (55.56%), Eukaryota:Metazoa (33.33%), Eukaryota:Alveolata (11.11%)","Eukaryota (100.00%), Eukaryota:Viridiplantae (88.07%), Eukaryota:Metazoa (11.85%), Eukaryota:Alveolata (0.08%)",SNORD96,Small nucleolar RNA SNORD96 family,Gene; snRNA; snoRNA; CD-box;
RF00056,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA71,Small nucleolar RNA SNORA71,Gene; snRNA; snoRNA; HACA-box;
RF00066,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (97.96%), Eukaryota:Alveolata (2.04%)","Eukaryota (99.94%), Eukaryota:Metazoa (99.77%), Eukaryota:Viridiplantae (0.16%), Bacteria (0.06%), Bacteria:Bacteroidetes (0.05%), Eukaryota:Alveolata (0.01%)",U7,U7 small nuclear RNA,Gene; snRNA;
RF00067,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD15,Small nucleolar RNA SNORD15,Gene; snRNA; snoRNA; CD-box;
RF00068,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD21,Small nucleolar RNA SNORD21,Gene; snRNA; snoRNA; CD-box;
RF00069,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (71.43%), Eukaryota:Fungi (14.29%), Eukaryota:Viridiplantae (14.29%)","Eukaryota (99.96%), Eukaryota:Metazoa (59.06%), Eukaryota:Viridiplantae (31.38%), Eukaryota:Fungi (5.84%), Eukaryota:Stramenopiles (0.84%), Eukaryota:Alveolata (0.81%), Eukaryota:Amoebozoa (0.14%), Archaea (0.04%), Archaea:Euryarchaeota (0.04%)",SNORD24,Small nucleolar RNA SNORD24,Gene; snRNA; snoRNA; CD-box;
RF00070,Eukaryota/Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (70.00%), Eukaryota:Viridiplantae (30.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (92.63%), Eukaryota:Viridiplantae (7.37%)",SNORD29,Small nucleolar RNA SNORD29,Gene; snRNA; snoRNA; CD-box;
RF00071,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD73,Small nucleolar RNA SNORD73,Gene; snRNA; snoRNA; CD-box;
RF00072,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA75,Small nucleolar RNA SNORA75,Gene; snRNA; snoRNA; HACA-box;
RF00074,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-29,mir-29 microRNA precursor family,Gene; miRNA;
RF00076,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.57%), Eukaryota:Fungi (0.29%), Eukaryota:Viridiplantae (0.14%)",mir-181,mir-181 microRNA precursor family,Gene; miRNA;
RF00085,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD28,Small nucleolar RNA SNORD28,Gene; snRNA; snoRNA; CD-box;
RF00086,Eukaryota/Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (87.50%), Eukaryota:Fungi (12.50%)","Eukaryota (100.00%), Eukaryota:Metazoa (94.52%), Eukaryota:Fungi (5.02%), Eukaryota:Alveolata (0.46%)",SNORD27,Small nucleolar RNA SNORD27,Gene; snRNA; snoRNA; CD-box;
RF00087,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD26,Small nucleolar RNA SNORD26,Gene; snRNA; snoRNA; CD-box;
RF00088,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD30,Small nucleolar RNA SNORD30,Gene; snRNA; snoRNA; CD-box;
RF00089,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.70%), Eukaryota:Fungi (0.15%), Eukaryota:Alveolata (0.15%)",SNORD31,Small nucleolar RNA SNORD31,Gene; snRNA; snoRNA; CD-box;
RF00090,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA74,Small nucleolar RNA SNORA74,Gene; snRNA; snoRNA; HACA-box;
RF00091,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA62,Small nucleolar RNA SNORA62/SNORA6 family,Gene; snRNA; snoRNA; HACA-box;
RF00092,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA63,Small nucleolar RNA SNORA63,Gene; snRNA; snoRNA; HACA-box;
RF00093,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (75.00%), Eukaryota:Fungi (18.75%), Eukaryota:Viridiplantae (6.25%)","Eukaryota (100.00%), Eukaryota:Metazoa (83.33%), Eukaryota:Viridiplantae (14.34%), Eukaryota:Fungi (1.79%), Eukaryota:Amoebozoa (0.19%), Eukaryota:Alveolata (0.11%), Eukaryota:Stramenopiles (0.08%)",SNORD18,Small nucleolar RNA SNORD18,Gene; snRNA; snoRNA; CD-box;
RF00096,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.94%), Eukaryota:Viridiplantae (0.06%)",U8,U8 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00099,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD22,Small nucleolar RNA SNORD22,Gene; snRNA; snoRNA; CD-box;
RF00100,Eukaryota+Metazoa,"Eukaryota (97.78%), Eukaryota:Metazoa (97.78%), unclassified sequences (2.22%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",7SK,7SK RNA,Gene;
RF00103,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.22%), Eukaryota:Viridiplantae (0.67%), Eukaryota:Fungi (0.11%)",mir-1,mir-1 microRNA precursor family,Gene; miRNA;
RF00104,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-10,mir-10 microRNA precursor family,Gene; miRNA;
RF00105,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD115,Small nucleolar RNA SNORD115,Gene; snRNA; snoRNA; CD-box;
RF00108,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (99.97%), Eukaryota:Metazoa (99.79%), Eukaryota:Viridiplantae (0.12%), Eukaryota:Fungi (0.06%), Bacteria (0.03%)",SNORD116,Small nucleolar RNA SNORD116,Gene; snRNA; snoRNA; CD-box;
RF00109,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.88%), Eukaryota:Fungi (0.12%)",Vimentin3,Vimentin 3' UTR protein-binding region,Cis-reg;
RF00129,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-103,mir-103/107 microRNA precursor family,Gene; miRNA;
RF00130,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (99.75%), Eukaryota:Metazoa (99.75%), Bacteria (0.25%)",mir-192,mir-192/215 microRNA precursor family,Gene; miRNA;
RF00131,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.95%), Eukaryota:Fungi (0.05%)",mir-30,mir-30 microRNA precursor family,Gene; miRNA;
RF00133,Eukaryota,"Eukaryota (100.00%), Eukaryota:Metazoa (72.22%), Eukaryota:Viridiplantae (27.78%)","Eukaryota (100.00%), Eukaryota:Metazoa (54.93%), Eukaryota:Viridiplantae (43.47%), Eukaryota:Fungi (0.96%), Eukaryota:Alveolata (0.59%), Eukaryota:Stramenopiles (0.05%)",SNORD33,Small nucleolar RNA Z195/SNORD33/SNORD32 family,Gene; snRNA; snoRNA; CD-box;
RF00136,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD81,Small nucleolar RNA SNORD81,Gene; snRNA; snoRNA; CD-box;
RF00137,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.86%), Eukaryota:Viridiplantae (0.14%)",SNORD83,Small nucleolar RNA SNORD83,Gene; snRNA; snoRNA; CD-box;
RF00138,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.85%), Eukaryota:Fungi (0.15%)",SNORD16,Small nucleolar RNA SNORD16,Gene; snRNA; snoRNA; CD-box;
RF00139,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.42%), Eukaryota:Viridiplantae (0.58%)",SNORA72,Small nucleolar RNA SNORA72,Gene; snRNA; snoRNA; HACA-box;
RF00143,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-6,mir-6 microRNA precursor family,Gene; miRNA;
RF00144,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-199,mir-199 microRNA precursor family,Gene; miRNA;
RF00147,Eukaryota,"Eukaryota (100.00%), Eukaryota:Viridiplantae (50.00%), Eukaryota:Metazoa (50.00%)","Eukaryota (100.00%), Eukaryota:Viridiplantae (64.90%), Eukaryota:Metazoa (35.10%)",SNORD34,Small nucleolar RNA SNORD34,Gene; snRNA; snoRNA; CD-box;
RF00150,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (99.76%), Eukaryota:Metazoa (99.65%), Archaea (0.24%), Archaea:Euryarchaeota (0.24%), Eukaryota:Viridiplantae (0.12%)",SNORD42,Small nucleolar RNA SNORD42,Gene; snRNA; snoRNA; CD-box;
RF00151,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD58,Small nucleolar RNA SNORD58,Gene; snRNA; snoRNA; CD-box;
RF00152,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.75%), Eukaryota:Fungi (0.25%)",SNORD79,Small nucleolar RNA SNORD79,Gene; snRNA; snoRNA; CD-box;
RF00153,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.85%), Eukaryota:Viridiplantae (0.15%)",SNORD62,Small nucleolar RNA SNORD62,Gene; snRNA; snoRNA; CD-box;
RF00154,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD63,Small nucleolar RNA SNORD63,Gene; snRNA; snoRNA; CD-box;
RF00155,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA66,Small nucleolar RNA SNORA66,Gene; snRNA; snoRNA; HACA-box;
RF00156,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORA70,Small nucleolar RNA SNORA70,Gene; snRNA; snoRNA; HACA-box;
RF00157,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD39,Small nucleolar RNA SNORD55/SNORD39,Gene; snRNA; snoRNA; CD-box;
RF00158,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",SNORD82,Small nucleolar RNA SNORD82,Gene; snRNA; snoRNA; CD-box;
RF00161,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",nos_TCE,Nanos 3' UTR translation control element,Cis-reg;
RF00163,Mixed/Eukaryota+Metazoa,"Eukaryota (79.31%), Eukaryota:Metazoa (79.31%), Viroids (20.69%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.96%), Eukaryota:Viridiplantae (0.03%), Eukaryota:Fungi (0.01%)",Hammerhead_1,Hammerhead ribozyme (type I),Gene; ribozyme;
RF00172,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",CAESAR,ctgf/hcs24 CAESAR,Cis-reg;
RF00178,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",mir-24,mir-24 microRNA precursor family,Gene; miRNA;
RF00179,Eukaryota+Metazoa,"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)","Eukaryota (100.00%), Eukaryota:Metazoa (99.17%), Eukaryota:Viridiplantae (0.83%)",GAIT,GAIT element,Cis-reg;
